Customer ID,Customer Name,Email ID,Customer Segment,Address
CG-12520,Claire Gute,claire_gute@example.com,Small Business,"Henderson, Kentucky"
CG-12520,Claire Gute,claire_gute@example.com,Consumer,"Henderson, Kentucky"
DV-13045,Darrin Van Huff,darrin_huff@example.com,Consumer,"Los Angeles, California"
SO-20335,Sean O'Donnell,sean_o'donnell@example.com,Corporate,"Fort Lauderdale, Florida"
SO-20335,Sean O'Donnell,sean_o'donnell@example.com,Consumer,"Fort Lauderdale, Florida"
BH-11710,Brosina Hoffman,brosina_hoffman@example.com,Consumer,"Los Angeles, California"
BH-11710,Brosina Hoffman,brosina_hoffman@example.com,Corporate,"Los Angeles, California"
BH-11710,Brosina Hoffman,brosina_hoffman@example.com,Corporate,"Los Angeles, California"
BH-11710,Brosina Hoffman,brosina_hoffman@example.com,Corporate,"Los Angeles, California"
BH-11710,Brosina Hoffman,brosina_hoffman@example.com,Home Office,"Los Angeles, California"
BH-11710,Brosina Hoffman,brosina_hoffman@example.com,Home Office,"Los Angeles, California"
BH-11710,Brosina Hoffman,brosina_hoffman@example.com,Home Office,"Los Angeles, California"
AA-10480,Andrew Allen,andrew_allen@example.com,Home Office,"Concord, North Carolina"
IM-15070,Irene Maddox,irene_maddox@example.com,Home Office,"Seattle, Washington"
HP-14815,Harold Pawlan,harold_pawlan@example.com,Small Business,"Fort Worth, Texas"
HP-14815,Harold Pawlan,harold_pawlan@example.com,Home Office,"Fort Worth, Texas"
PK-19075,Pete Kriz,pete_kriz@example.com,Small Business,"Madison, Wisconsin"
AG-10270,Alejandro Grove,alejandro_grove@example.com,Home Office,"West Jordan, Utah"
ZD-21925,Zuschuss Donatelli,zuschuss_donatelli@example.com,Home Office,"San Francisco, California"
ZD-21925,Zuschuss Donatelli,zuschuss_donatelli@example.com,Corporate,"San Francisco, California"
ZD-21925,Zuschuss Donatelli,zuschuss_donatelli@example.com,Corporate,"San Francisco, California"
KB-16585,Ken Black,ken_black@example.com,Consumer,"Fremont, Nebraska"
KB-16585,Ken Black,ken_black@example.com,Consumer,"Fremont, Nebraska"
SF-20065,Sandra Flanagan,sandra_flanagan@example.com,Corporate,"Philadelphia, Pennsylvania"
EB-13870,Emily Burns,emily_burns@example.com,Corporate,"Orem, Utah"
EH-13945,Eric Hoffmann,eric_hoffmann@example.com,Home Office,"Los Angeles, California"
EH-13945,Eric Hoffmann,eric_hoffmann@example.com,Home Office,"Los Angeles, California"
TB-21520,Tracy Blumstein,tracy_blumstein@example.com,Corporate,"Philadelphia, Pennsylvania"
TB-21520,Tracy Blumstein,tracy_blumstein@example.com,Consumer,"Philadelphia, Pennsylvania"
TB-21520,Tracy Blumstein,tracy_blumstein@example.com,Small Business,"Philadelphia, Pennsylvania"
TB-21520,Tracy Blumstein,tracy_blumstein@example.com,Home Office,"Philadelphia, Pennsylvania"
TB-21520,Tracy Blumstein,tracy_blumstein@example.com,Home Office,"Philadelphia, Pennsylvania"
TB-21520,Tracy Blumstein,tracy_blumstein@example.com,Corporate,"Philadelphia, Pennsylvania"
TB-21520,Tracy Blumstein,tracy_blumstein@example.com,Corporate,"Philadelphia, Pennsylvania"
MA-17560,Matt Abelman,matt_abelman@example.com,Corporate,"Houston, Texas"
GH-14485,Gene Hale,gene_hale@example.com,Corporate,"Richardson, Texas"
GH-14485,Gene Hale,gene_hale@example.com,Corporate,"Richardson, Texas"
SN-20710,Steve Nguyen,steve_nguyen@example.com,Corporate,"Houston, Texas"
SN-20710,Steve Nguyen,steve_nguyen@example.com,Corporate,"Houston, Texas"
SN-20710,Steve Nguyen,steve_nguyen@example.com,Consumer,"Houston, Texas"
SN-20710,Steve Nguyen,steve_nguyen@example.com,Small Business,"Houston, Texas"
LC-16930,Linda Cazamias,linda_cazamias@example.com,Small Business,"Naperville, Illinois"
RA-19885,Ruben Ausman,ruben_ausman@example.com,Corporate,"Los Angeles, California"
ES-14080,Erin Smith,erin_smith@example.com,Corporate,"Melbourne, Florida"
ON-18715,Odella Nelson,odella_nelson@example.com,Corporate,"Eagan, Minnesota"
ON-18715,Odella Nelson,odella_nelson@example.com,Home Office,"Eagan, Minnesota"
PO-18865,Patrick O'Donnell,patrick_o'donnell@example.com,Home Office,"Westland, Michigan"
LH-16900,Lena Hernandez,lena_hernandez@example.com,Home Office,"Dover, Delaware"
LH-16900,Lena Hernandez,lena_hernandez@example.com,Home Office,"Dover, Delaware"
DP-13000,Darren Powers,darren_powers@example.com,Home Office,"New Albany, Indiana"
DP-13000,Darren Powers,darren_powers@example.com,Corporate,"New Albany, Indiana"
DP-13000,Darren Powers,darren_powers@example.com,Corporate,"New Albany, Indiana"
DP-13000,Darren Powers,darren_powers@example.com,Corporate,"New Albany, Indiana"
JM-15265,Janet Molinari,janet_molinari@example.com,Corporate,"New York City, New York"
JM-15265,Janet Molinari,janet_molinari@example.com,Home Office,"New York City, New York"
TB-21055,Ted Butterfield,ted_butterfield@example.com,Corporate,"Troy, New York"
TB-21055,Ted Butterfield,ted_butterfield@example.com,Corporate,"Troy, New York"
